name,price,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Primary Camera,RAM,Screen size,Year,Selfie Camera,model
Iphone 8,850,No,1600,No ,IPS LCD ,Yes ,64,Yes ,No ,1,2,4,5.45,2021,1,8
იყიდება Iphone 6s 64GB,300,No,1700,No ,IPS LCD ,Yes ,64,Yes ,No ,1,1,4,4.7,2015,2,6s
iPhone X,1099,No,5000,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,2,1,4,5.9,2019,1,x
Iphone x,450,No,800,Yes ,Foldable Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,2,4,5,2018,2,x
IPHONE 8. 64GB GOLD,550,No,1800,No ,IPS LCD ,Yes ,64,Yes ,No ,1,12,2,4.7,2020,7,8
iphone 12 pro,1200,Yes,4500,Yes,Super Retina XDR OLED ,No ,128,No ,No ,3,48,6,6,2020,1,12 pro
Iphone 7,300,No,2000,No ,LCD ,Yes ,32,Yes ,Yes ,2,12,2,4.7,2019,8,7
iPhone 6s,200,No,1700,Yes ,IPS LCD ,Yes ,16,Yes ,No ,2,1,4,3,2016,1,6s
Iphone 6,220,No,1800,No ,IPS LCD ,Yes ,16,Yes ,No ,1,12,2,4.7,2014,1,6
iPhone 6s 32GB,150,No,1200,Yes ,IPS LCD ,Yes ,32,Yes ,Yes ,1,13,3,5.5,2015,1,6s
IPhone 11 Pro Max იყიდება,2000,No,3900,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,3,4,6.5,2019,2,11 pro
იყიდება iPhone XS 64GB Space Gray,1150,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,5.8,2018,7,xs
იყიდება iPhone XS 64GB Gold,1000,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,5.8,2018,7,xs
Iphone 4s,80,No,2500,Yes ,LCD ,No ,8,No ,No ,1,1,2,4,2012,1,4s
iPhone XS აიფონ 10s,1000,No,2800,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,12,8,5.8,2018,8,xs
iPhone 6 32GB,500,No,2000,Yes ,LCD ,Yes ,32,Yes ,No ,1,1,2,4.7,2017,1,6
Iphone Xs,550,Yes,2400,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,2,8,6.67,2018,1,xs
Iphone 3 gs,80,No,2500,Yes ,LCD ,Yes ,4,No ,No ,1,1,2,3.5,2010,1,3 gs
"Iphone 6s, 32 gb",300,Yes,800,No ,IPS LCD ,No ,32,Yes ,No ,2,5,4,4.2,2011,1,6s
iphone 7 plus 32 GB,650,No,2100,No ,LCD ,Yes ,64,Yes ,Yes ,2,2,4,5.7,2017,1,7
იყიდება მეორადი Iphone 8 plus თეთრი,550,Yes,1000,No ,IPS LCD ,Yes ,64,Yes ,No ,2,3,4,5.5,2017,1,8
iphone x,450,Yes,2300,Yes,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,3,32,4,6,2017,2,x
მობილური iphone 6,250,Yes,1500,No ,LCD ,Yes ,64,Yes ,Yes ,1,1,1,5.1,2015,1,6
მობილური iphone 7,400,Yes,1500,No ,LCD ,Yes ,64,Yes ,No ,1,2,4,5.1,2016,1,7
Iphone 7,350,No,2700,No ,LCD ,Yes ,32,Yes ,Yes ,1,8,4,4,2016,5,7
Impone 6 გამოგადგებათ ნაწილებადაც!,100,No,1500,No ,LCD ,No ,16,Yes ,No ,2,1,2,4,2014,1,6
იყიდება შავი Iphone 8 plus,950,Yes,1000,No ,IPS LCD ,No ,64,Yes ,No ,1,2,4,5.5,2019,1,8
Iphone 5s gold,160,No,1900,Yes ,LCD ,Yes ,16,Yes ,Yes ,1,1,1,3.5,2013,1,5s
Iphone 12 Pro Max,1000,Yes,1100,Yes ,AMOLED ,Yes ,8,Yes ,No ,0,13,0.5,3,2020,1,12 pro
iphone 12 pro graphite 128 gb,2950,Yes,4100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,4.4,2020,8,12 pro
APPLE IPHONE 7 32GB ID: 163191-2,350,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.5,2016,5,7
APPLE IPHONE X 64GB ID: 163007-2,950,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,3,5.9,2017,7,x
APPLE IPHONE 8 64GB ID:161978-2,550,No,1900,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,12,2,4.7,2017,7,8
11 პრო,2100,No,3200,Yes,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,3,1,4,5.8,2019,1,11
APPLE IPHONE 12 128GB ID: 161361-2,2300,Yes,2900,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,2,12,4,6.15,2020,12,12
Iphone 7 ( 32GB),480,No,1000,No ,LCD ,Yes ,64,Yes ,No ,2,1,4,4.7,2016,1,7
APPLE IPHONE 7 32GB ID: 160881-2,270,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2016,5,7
Iphone 8 ( 64GB),350,No,1100,No ,IPS LCD ,Yes ,64,Yes ,No ,2,1,4,4.7,2017,1,8
iphone 6s,180,Yes,1700,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,12,2,4.7,2016,1,6s
iphone 7 128GB,470,Yes,7000,No ,Retina IPS LCD ,Yes ,128,Yes ,Yes ,2,12,4,4.7,2019,5,7
iPhone 12 Pro 256GB ბათუმი,3150,Yes,3800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,12,4,6.1,2020,1,12 pro
iphone 5s,90,No,1600,No ,LCD ,Yes ,16,Yes ,No ,2,8,1,4,2013,2,5s
Iphone 6s,230,Yes,2400,Yes ,AMOLED ,Yes ,16,Yes ,Yes ,2,16,3,5.1,2019,5,6s
იყიდება Iphone 8,600,No,4000,Yes ,IPS ,Yes ,64,Yes ,No ,1,1,4,5.2,2018,1,8
iPhone 6s 16GB Sim Free,250,No,2300,Yes ,IPS LCD ,Yes ,16,Yes ,Yes ,1,13,4,5,2018,8,6s
iphone 8 pluse 64 gb,819,No,3000,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,13,3,6.67,2018,8,8
IPHONE 12,2800,No,600,Yes ,IPS ,Yes ,64,Yes ,Yes ,2,2,12,4.1,2020,1,12
iphone 7 128 gb,450,No,2000,Yes ,IPS ,Yes ,128,Yes ,Yes ,2,1,4,5.2,2021,1,7
Iphone xs max,1280,No,1500,No ,TFT ,Yes ,64,Yes ,No ,2,1,4,4.1,2016,1,xs max
Iphone 11 pro 64Gb 93% battery,2150,No,3100,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,3,4,5.8,2019,1,11 pro
iphon X,1050,Yes,800,Yes ,IPS LCD ,Yes ,32,Yes ,Yes ,2,2,2,4.2,2018,1,x
Iphon 8,674.2162162,No,6000,No ,IPS LCD ,Yes ,64,Yes ,Yes ,2,8,4,5.71,2019,5,8
IPhone SE 2020 64 GB,850,Yes,1800,Yes ,Retina IPS LCD ,Yes ,64,Yes ,No ,2,1,4,5.4,2020,1,se
iphone 11 64gb,1500,No,3000,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,No ,2,2,4,6.09,2019,1,11
"იყიდება IPhone 7 Rose Gold, 128 GB",450,No,1200,Yes ,LCD ,Yes ,128,Yes ,No ,2,2,8,4.2,2016,1,7
Iphone 11,1800,No,3100,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,12,4,6.1,2019,24,11
Iphone 7 (32GB),450,Yes,1000,No ,LCD ,Yes ,64,Yes ,No ,2,1,4,4.9,2016,1,7
Iphone 6,200,Yes,500,No ,TFT ,Yes ,64,Yes ,Yes ,1,1,12,3,2014,1,6
Iphone XR 128gb,950,No,1600,No ,LCD ,Yes ,128,Yes ,No ,1,12,4,6,2019,1,xr
IPHONE XS PRO MAX 512 GB შავი,1500,No,3100,No ,Super Retina XDR OLED ,Yes ,512,Yes ,Yes ,4,12,4,6.5,2018,7,xs pro
Iphone 6s,250,No,1700,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,12,2,4.7,2015,1,6s
iphone 11 pro max,2300,No,5500,Yes,Super Retina XDR OLED ,No ,64,Yes ,No ,3,3,6,6.26,2021,2,11 pro
iphone x 256 gb აიფონ x 256 გბ,1000,No,1100,No ,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,2,12,4,6.7,2020,1,x
iphone 7 32gb,380,No,2000,No ,LCD ,Yes ,64,Yes ,Yes ,1,12,4,4.7,2016,5,7
iphone 6s 32gb,320,No,2100,No ,IPS ,Yes ,32,Yes ,Yes ,2,13,4,4.7,2015,8,6s
iphone 6s 16gb,300,No,2000,No ,IPS LCD ,Yes ,16,Yes ,Yes ,2,13,4,4.7,2015,8,6s
iphone 6s 16gb,280,No,2100,No ,Retina IPS LCD ,Yes ,16,Yes ,Yes ,2,13,4,4.7,2015,5,6s
iphone 5c 16gb,140,No,1900,Yes ,LCD ,Yes ,16,Yes ,No ,1,5,1,4,2016,5,5c
iphone 5 32GB,150,No,1800,No ,IPS ,Yes ,32,Yes ,No ,1,5,1,4,2012,5,5
iPhone XS 256 GB Gold გაბზარულია უკან,1000,No,2600,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,2,12,4,5.8,2018,7,xs
APPLE IPHONE XS 64GB ID: 163260-4,1150,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,5.8,2018,7,xs
iphone 12 pro max,2800,Yes,3600,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,3,12,6,6.7,2020,1,12 pro
iPhone 6 16 GB განვადებათბს საქართველო კრედო ბანკი,270,No,1700,Yes ,LCD ,Yes ,16,Yes ,Yes ,1,12,1,4.7,2016,12,6
"iPhone 8 64GB 1წლიანი გარანტია, განვადება კრედო,",800,No,1800,Yes ,LCD ,Yes ,64,Yes ,Yes ,1,12,2,4.7,2017,8,8
iphone 4s iafad,50,No,1500,No ,LCD ,No ,16,No ,No ,2,8,0.5,3.5,2011,1,4s
iphone 5 16 GB uproblemo,90,No,1500,No ,IPS ,Yes ,16,Yes ,No ,2,8,1,4,2012,2,5
iphone 6s,200,No,1700,No ,IPS LCD ,No ,64,No ,No ,2,12,3,4.7,2015,1,6s
iPhone 6 16 GB,150,No,1800,No ,LCD ,Yes ,64,Yes ,Yes ,2,1,4,4.7,2014,1,6
"IPhone 8 64 GB -1 წლიანი გარანტიით, განავდებით",1000,No,1800,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,12,2,4.7,2017,7,8
"IPhone XR 64GB -1 წლიანი გარანტიით,განავდებით",999,No,1800,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2018,12,xr
"Apple Iphone 11 Pro 256GB -1 წლიანი გარანტიით, განვადებით",2649,No,3000,No ,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,2,12,4,5.8,2019,12,11 pro
"IPhone X 64GB -1 წლიანი გარანტიით,განვადებით",1399,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2017,7,x
"IPhone X 64GB -1 წლიანი გარანტიით, განვდებით",999,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2017,7,x
"IPhone X 64GB -1 წლიანი გარანტიით, განვადებით",1299,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2017,7,x
"IPhone 8 64GB -1 წლიანი გარანტიით, განვადებით",949,No,1800,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,12,2,4.7,2017,7,8
"IPhone 8 64GB GOLD -1 წლიანი გარანტიით, განვადებით",899,No,1800,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,12,2,4.7,2017,7,8
iphone 7 dazianebulia,170,No,2000,No ,LCD ,Yes ,32,Yes ,Yes ,2,12,2,4.7,2016,7,7
saswrafod!!! iphone 6 plus sim free,180,No,3000,No ,LCD ,Yes ,16,Yes ,Yes ,2,8,1,5.5,2014,5,6
"IPhone X 64GB -1 წლიანი გარანტიით, განვადებით",1399,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2018,7,x
Apple 8 Plus 64GB - 1 წლიანი გარანტიით განვადებით,1199,No,2600,No ,LTPS IPS LCD ,Yes ,64,Yes ,Yes ,2,12,3,5.5,2017,7,8+
"IPhone Xs Max 512GB -1 წლიანი გარანტიით, განვადებით",2499,No,3000,Yes ,Dynamic AMOLED ,Yes ,512,Yes ,Yes ,2,12,4,6.5,2018,7,xs max
"IPhone 11 Pro max 64GB -1წლიანი გარანტიით, განვადებით",2949,Yes,3900,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,4,6.5,2019,7,11 pro
"IPhone 6S 32 GB - 1 წლიანი განვადებით, გარანტიით",420,No,1700,Yes ,LCD TFT ,Yes ,32,Yes ,Yes ,2,12,2,4.7,2015,5,6s
"IPhone 11 Pro Max 64 GB - 1 წლიანი გარანტიით, განავდებით",2799,No,3900,No ,Dynamic AMOLED ,Yes ,64,Yes ,No ,2,12,4,6.5,2019,12,11 pro
"IPhone 6S Plus 64 GB -1 წლიანი გარანტიით, განვადებით",699,No,2700,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,12,2,5.5,2015,7,6s
IPhone XS 64GB -1 წლიანი გარანტიით,1599,No,2600,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,4,5.8,2019,7,xs
"IPhone XS 64GB -1 წლიანი გარანტიით, განვადებით",1599,No,2700,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,12,3,5.8,2018,7,xs
"IPhone 6 Plus 16 GB -1 წლიანი გარანტიით, განვადებით",499,No,2900,No ,LCD TFT ,Yes ,16,Yes ,Yes ,2,8,1,5.5,2016,1,6
iphone 11,1400,No,3400,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,2,4,6.26,2019,1,11
iPhone XS,1300,No,3000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,6.1,2019,5,xs
iPhone 7,350,No,1900,Yes ,LCD ,Yes ,128,Yes ,Yes ,2,12,2,4.7,2019,5,7
Iphone Xs,1350,Yes,2600,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,1,12,4,6,2019,1,xs
Iphone 12 pro max,3300,Yes,3700,Yes ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,12,6,6.7,2020,12,12 pro
Iphone 12 .,2400,Yes,2800,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,12,4,6.1,2020,12,12
Iphone 11 pro,2300,Yes,3100,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,12,4,6.5,2020,8,11 pro
iPhone 7 32 Gb,500,No,1700,Yes ,IPS ,Yes ,32,Yes ,Yes ,1,1,2,4.7,2019,1,7
iPhone 12 Pro MAX 256GB,3100,Yes,4300,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,3,12,6,6.67,2020,8,12 pro
iPhone X 64 GB,750,Yes,2700,No ,Dynamic AMOLED ,Yes ,64,Yes ,No ,2,2,4,5.8,2017,1,x
