name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,Selfie Camera,model
iphone x,450.0,Yes ,Yes,2300,Yes,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,3,iOS ,32,4.0,6.0,One SIM ,Mini-SIM ,,,2017 Y.,2,x
მობილური iphone 6,250.0,Yes ,Yes,1500,No ,LCD ,Yes ,64,Yes ,Yes ,1,iOS ,1,1.0,5.1,One SIM ,Nano-SIM ,No ,Yes ,2015 Y.,1,6
მობილური iphone 7,400.0,Yes ,Yes,1500,No ,LCD ,Yes ,64,Yes ,No ,1,iOS ,2,4.0,5.1,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,1,7
Iphone 7,350.0,Yes ,No,2700,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,8,4.0,4.0,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,5,7
Impone 6 გამოგადგებათ ნაწილებადაც!,100.0,Yes ,No,1500,No ,LCD ,No ,16,Yes ,No ,2,iOS ,1,2.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,1,6
იყიდება შავი Iphone 8 plus,950.0,Yes ,Yes,1000,No ,IPS LCD ,No ,64,Yes ,No ,1,iOS ,2,4.0,5.5,One SIM ,Mini-SIM ,No ,Yes ,2019 Y.,1,8
Iphone 5s gold,160.0,Yes ,No,1900,Yes ,LCD ,Yes ,16,Yes ,Yes ,1,iOS ,1,1.0,3.5,One SIM ,Mini-SIM ,Yes ,Yes ,2013 Y.,1,5s
Iphone 12 Pro Max,1000.0,Yes ,Yes,1100,Yes ,AMOLED ,Yes ,8,Yes ,No ,0,iOS ,13,0.5,3.0,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,1,12 pro
iphone 12 pro graphite 128 gb,2950.0,Yes ,Yes,4100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,4.4,One SIM ,Nano-SIM ,No ,Yes ,2020 Y.,8,12 pro
APPLE IPHONE 7 32GB ID: 163191-2,350.0,Yes ,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
APPLE IPHONE X 64GB ID: 163007-2,950.0,Yes ,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.9,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,x
APPLE IPHONE 8 64GB ID:161978-2,550.0,Yes ,No,1900,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
11 პრო,2100.0,Yes ,No,3200,Yes,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,3,iOS ,1,4.0,5.8,Dual SIM ,Nano-SIM ,,,2019 Y.,1,11
APPLE IPHONE 12 128GB ID: 161361-2,2300.0,Yes ,Yes,2900,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,2,iOS ,12,4.0,6.15,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,12
Iphone 7 ( 32GB),480.0,No ,No,1000,No ,LCD ,Yes ,64,Yes ,No ,2,iOS ,1,4.0,4.7,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,1,7
APPLE IPHONE 7 32GB ID: 160881-2,270.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
