,name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,Selfie Camera,model
11,Iphone X,1050.0,Yes ,Yes,1500,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,Android ,2,12.0,6.7,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,1,x
12,Iphone 12 Pro,3000.0,Yes ,Yes,4400,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,13,12 pro
13,IPHONE 12 PRO 128BG,3100.0,Yes ,Yes,3000,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,iOS ,1,4.0,6.0,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,1,12 pro
14,iPhone 8,800.0,No ,No,1900,No ,IPS LCD ,Yes ,64,Yes ,No ,1,iOS ,1,4.0,4.7,One SIM ,Micro-SIM ,No ,Yes ,2017 Y.,1,8
15,iPhone 8+,1150.0,No ,No,2700,No ,LCD ,Yes ,64,Yes ,No ,1,iOS ,1,4.0,5.5,One SIM ,Nano-SIM ,No ,Yes ,2017 Y.,1,8+
16,Iphone 7 32 GB გარანტიით!,400.0,Yes ,No,1800,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,32,4.0,5.0,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,20,7
17,Iphone 6s 64GB ამერიკიდან გარანტიით!,280.0,Yes ,No,1800,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,48,6.0,4.0,One SIM ,Micro-SIM ,Yes ,Yes ,2014 Y.,32,6s
18,Iphone X 256GB გარანტიით იდეალური!,1200.0,Yes ,Yes,2200,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,41,4.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,48,x
19,Iphone 11 Pro Max 64GB ახალივით!,2250.0,Yes ,Yes,2500,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,3,iOS ,48,4.0,5.2,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,24,11 pro
20,"Iphone 11 64GB Red,Black 1 წლიანი გარანტიით!",1600.0,Yes ,Yes,2500,No ,LCD ,Yes ,64,Yes ,Yes ,3,iOS ,64,3.0,5.5,One SIM ,Micro-SIM ,Yes ,Yes ,2019 Y.,32,11
21,IPhone X 64GB,800.0,Yes ,No,8000,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,2,4.0,5.8,One SIM ,Mini-SIM ,Yes ,Yes ,2017 Y.,1,x
22,iphone 7 model-1778 ახალივით სასაჩუკრე!,400.0,Yes ,No,2000,Yes ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,13,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,8,7
23,iphone 7 plus ახალივით სასაჩუკრე!,550.0,Yes ,No,2500,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,16,4.0,5.1,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,8,7
24,iPhone XS 64GB,1230.0,Yes ,No,3200,No ,Super Retina XDR OLED ,No ,64,Yes ,No ,2,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,No ,No ,2018 Y.,1,xs
25,Apple iPhone SE SIM FREE,870.0,Yes ,No,1900,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,se
26,IPHONE 8 BLACK 64GB SIM FREE,550.0,Yes ,No,1900,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,8
27,"iPhone SE 2020 64gb white უნაკლო, ახალივით",800.0,Yes ,No,2600,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,16,6.0,4.8,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,8,se
28,iPhone 7 128GB Sim free Jet Black.,380.0,Yes ,No,800,Yes ,LCD ,Yes ,128,Yes ,No ,2,iOS ,2,3.0,4.2,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,1,7
29,iphone 12 mini,1850.0,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,8,12
30,iPhone XR Black 64GB Simfree,1100.0,Yes ,Yes,3000,No ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,20,4.0,4.9,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,8,xr
31,iphone XS 256GB,1100.0,Yes ,No,2700,Yes ,AMOLED ,Yes ,256,Yes ,Yes ,3,iOS ,12,3.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,5,xs
32,iphone 7 32GB matt black,400.0,Yes ,No,2300,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,7
33,iPhone 12 Pro Max 256GB Graphite,3500.0,Yes ,Yes,3600,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,3,iOS ,12,6.0,6.7,One SIM ,Nano-SIM ,No ,No ,2020 Y.,1,12 pro
34,iphone 7 32da128 gb,430.0,Yes ,No,1600,No ,AMOLED ,Yes ,128,Yes ,Yes ,2,iOS ,2,4.0,6.26,One SIM ,Micro-SIM ,Yes ,Yes ,2018 Y.,2,7
35,"IPhone 11 Pro Max 256GB -1 წლიანი გარანტიით, განავდებით",3249.0,Yes ,No,3900,No ,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11 pro
36,Iphone X 256GB,1100.0,Yes ,No,2700,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,8,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,1,x
37,iPhone SE 2020,1100.0,Yes ,Yes,1800,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,7,se
38,iPhone 8,750.0,Yes ,Yes,1800,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,1,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,7,8
39,iphone 7 model-1778 ახალივით სასაჩუკრე!,450.0,Yes ,No,2000,Yes ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,13,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,8,7
40,iphone xr 64 gb,1100.0,Yes ,No,5000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,1,iOS ,1,8.0,6.2,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,1,xr
41,iPhone 7,380.0,Yes ,Yes,1900,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,7,7
42,iPhone 8,650.0,Yes ,No,1800,No ,IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
43,iPhone X,1150.0,Yes ,Yes,3700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,Dual SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,x
44,iPhone 12 Pro,3400.0,Yes ,Yes,2800,Yes ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,iOS ,12,6.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,12 pro
45,iPhone 7 Plus,650.0,Yes ,Yes,2900,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,12,3.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,7,7
46,iphone 6s 32gb აიფონ 6ს 32გბ,270.0,Yes ,No,1700,No ,IPS LCD ,Yes ,32,Yes ,Yes ,2,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,6s
47,iphone 8 64gb აიფონ 8 64გბ,600.0,Yes ,No,1800,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,8
48,iphone 13 pro max,3700.0,Yes ,Yes,4300,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,4,iOS ,3,4.0,6.7,One SIM ,Nano-SIM ,No ,Yes ,2021 Y.,1,13 pro max
49,iPhone XR,1000.0,Yes ,Yes,2900,No ,Super AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,1,3.0,6.0,One SIM ,Nano-SIM ,No ,Yes ,2018 Y.,1,xr
50,iPhone XS,1100.0,Yes ,Yes,2800,No ,Super AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,1,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,1,xs
51,iPhone 11 Pro,1950.0,Yes ,Yes,3000,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,11 pro
52,iPhone 11 Pro Max,2350.0,Yes ,Yes,3900,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11 pro
53,iPhone SE (2020წ.),1100.0,Yes ,Yes,2800,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,7,se
54,იყიდება iphone se 2020 64 gb,800.0,Yes ,Yes,2900,No ,Retina IPS LCD ,Yes ,64,Yes ,No ,1,iOS ,1,4.0,5.0,One SIM ,Nano-SIM ,No ,No ,2020 Y.,1,se
55,11 Pro Max 64 1 წლიანი გარატია განვადება კრედო,2450.0,Yes ,Yes,4000,Yes ,AMOLED ,Yes ,4,Yes ,Yes ,3,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,12,11 pro
56,iPhone 11 64GB turbo simit 1წლიანი გარანტია განვადება კრედ,1400.0,Yes ,No,3000,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11
57,iphone 12 pro,3300.0,Yes ,Yes,4555,No ,Super Retina XDR OLED ,No ,64,Yes ,No ,3,iOS ,16,12.0,5.45,One SIM ,Nano-SIM ,No ,No ,2021 Y.,1,12 pro
58,iphone 11 აიფონი 11,1700.0,Yes ,Yes,1700,Yes ,LCD ,Yes ,64,Yes ,Yes ,3,iOS ,2,4.0,6.2,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,1,11
59,iphone XS MAX GOLD 89პროცენტი,1370.0,Yes ,Yes,2000,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,13,4.0,5.4,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,2,xs max
60,iPhone XS 64Gb black sim-free,1350.0,Yes ,No,2400,Yes,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,2,4.0,5.8,One SIM ,Nano-SIM ,,,2018 Y.,1,xs
61,iPhone XS 64Gb black sim-free,1350.0,Yes ,No,2400,Yes,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,2,4.0,5.8,One SIM ,Nano-SIM ,,,2018 Y.,1,xs
62,iphone X,1000.0,Yes ,Yes,10000,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,2,12.0,5.6,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,1,x
63,iPhone XR 64GB Black,800.0,Yes ,No,3300,Yes ,LCD ,Yes ,64,Yes ,No ,1,iOS ,12,4.0,6.3,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,8,xr
64,apple iphone Xs gold/ iphone,1100.0,Yes ,Yes,2000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,4.7,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,5,xs
65,iPhone 7 32gb A1778 sim free,420.0,Yes ,No,1900,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
66,iPhone 7 32gb A1778 sim free,420.0,Yes ,No,1900,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
67,Iphone 11 Pro Max - ახალი !,2950.0,Yes ,Yes,8000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,3,12.0,4.7,One SIM ,Nano-SIM ,No ,No ,2021 Y.,1,11 pro
68,Apple iphone 8 64gb red,650.0,Yes ,No,2000,No ,IPS LCD ,Yes ,64,Yes ,No ,2,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,1,8
69,iphone 7 silver 32 GB,349.0,Yes ,Yes,2400,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,5,7
70,iphone 8 silver 64 GB,630.0,Yes ,Yes,2700,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,8
71,Iphone 8Plus 64GB Sim Free GSm 4G LTe,900.0,Yes ,No,2400,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.7,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,5,8+
72,GARANTIT Saswrafod iyideba iphone 6 16gb originali idealur m,180.0,Yes ,No,1600,Yes ,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,16,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,13,6
73,იყიდება iphone 11 pro mindight green 64 GB,2450.0,No ,No,1200,No ,Super Retina XDR OLED ,Yes ,64,Yes ,No ,3,iOS ,3,4.0,5.3,Dual SIM ,Nano-SIM ,No ,No ,2019 Y.,1,11 pro
74,Apple iPhone XS 64 Gb white sim free ყუთით და აქსესუარებით,1350.0,Yes ,No,2900,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.0,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,8,xs
75,Apple iphone Xs Max 64GB არჩევით,1350.0,Yes ,No,3200,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,1,xs max
76,iPhone 7 32gb simFree,400.0,Yes ,No,2000,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,8,7
77,Iphone 8 64GB Simfree,600.0,Yes ,No,2000,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,8,8
78,იყიდებ Iphone 5c 5,40.0,Yes ,No,500,Yes ,LCD ,Yes ,4,No ,Yes ,1,iOS ,1,1.0,3.5,One SIM ,Mini-SIM ,Yes ,Yes ,2016 Y.,1,5c
79,Iphone 6S 16Gb Sim Free GsM,220.0,Yes ,No,1800,Yes ,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,12,1.5,4.3,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,8,6s
80,Iphone 6s LCd 100% ორიგინალი,65.0,Yes ,No,2300,No ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,13,4.0,5.5,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,8,6s
81,iphone 5C T-mobile,50.0,Yes ,No,1600,No ,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,12,0.5,4.0,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,8,5c
82,iphone 8 Plus 64gB Sim Free 4G LTE,650.0,Yes ,No,2400,No ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.5,One SIM ,Mini-SIM ,No ,Yes ,2018 Y.,8,8
83,Iphone 8,850.0,Yes ,No,1600,No ,IPS LCD ,Yes ,64,Yes ,No ,1,iOS ,2,4.0,5.45,One SIM ,Micro-SIM ,Yes ,Yes ,2021 Y.,1,8
84,იყიდება Iphone 6s 64GB,300.0,Yes ,No,1700,No ,IPS LCD ,Yes ,64,Yes ,No ,1,iOS ,1,4.0,4.7,One SIM ,Nano-SIM ,No ,Yes ,2015 Y.,2,6s
85,iPhone X,1099.0,Yes ,No,5000,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,1,4.0,5.9,One SIM ,Nano-SIM ,No ,Yes ,2019 Y.,1,x
86,Iphone x,450.0,Yes ,No,800,Yes ,Foldable Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,2,4.0,5.0,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,2,x
87,IPHONE 8. 64GB GOLD,550.0,Yes ,No,1800,No ,IPS LCD ,Yes ,64,Yes ,No ,1,iOS ,12,2.0,4.7,One SIM ,Micro-SIM ,,,2020 Y.,7,8
88,iphone 12 pro,1200.0,No ,Yes,4500,Yes,Super Retina XDR OLED ,No ,128,No ,No ,3,iOS ,48,6.0,6.0,One SIM ,Nano-SIM ,,,2020 Y.,1,12 pro
89,Iphone 7,300.0,Yes ,No,2000,No ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,8,7
90,iPhone 6s,200.0,Yes ,No,1700,Yes ,IPS LCD ,Yes ,16,Yes ,No ,2,iOS ,1,4.0,3.0,One SIM ,Mini-SIM ,Yes ,Yes ,2016 Y.,1,6s
91,Iphone 6,220.0,Yes ,No,1800,No ,IPS LCD ,Yes ,16,Yes ,No ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,1,6
92,iPhone 6s 32GB,150.0,Yes ,No,1200,Yes ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,13,3.0,5.5,One SIM ,Micro-SIM ,Yes ,Yes ,2015 Y.,1,6s
93,IPhone 11 Pro Max იყიდება,2000.0,Yes ,No,3900,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,3,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,2,11 pro
94,იყიდება iPhone XS 64GB Space Gray,1150.0,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs
95,იყიდება iPhone XS 64GB Gold,1000.0,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs
96,Iphone 4s,80.0,Yes ,No,2500,Yes ,LCD ,No ,8,No ,No ,1,iOS ,1,2.0,4.0,One SIM ,Micro-SIM ,Yes ,No ,2012 Y.,1,4s
97,iPhone XS აიფონ 10s,1000.0,Yes ,No,2800,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,8.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,xs
98,iPhone 6 32GB,500.0,Yes ,No,2000,Yes ,LCD ,Yes ,32,Yes ,No ,1,iOS ,1,2.0,4.7,One SIM ,Mini-SIM ,No ,Yes ,2017 Y.,1,6
99,Iphone Xs,550.0,Yes ,Yes,2400,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,2,8.0,6.67,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,1,xs
100,Iphone 3 gs,80.0,Yes ,No,2500,Yes ,LCD ,Yes ,4,No ,No ,1,iOS ,1,2.0,3.5,One SIM ,Mini-SIM ,Yes ,Yes ,2010 Y.,1,3 gs
101,"Iphone 6s, 32 gb",300.0,Yes ,Yes,800,No ,IPS LCD ,No ,32,Yes ,No ,2,iOS ,5,4.0,4.2,One SIM ,Nano-SIM ,,,2011 Y.,1,6s
102,iphone 7 plus 32 GB,650.0,Yes ,No,2100,No ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,2,4.0,5.7,One SIM ,Nano-SIM ,No ,Yes ,2017 Y.,1,7
103,იყიდება მეორადი Iphone 8 plus თეთრი,550.0,No ,Yes,1000,No ,IPS LCD ,Yes ,64,Yes ,No ,2,iOS ,3,4.0,5.5,One SIM ,Mini-SIM ,Yes ,Yes ,2017 Y.,1,8
104,iphone x,450.0,Yes ,Yes,2300,Yes,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,3,iOS ,32,4.0,6.0,One SIM ,Mini-SIM ,,,2017 Y.,2,x
105,მობილური iphone 6,250.0,Yes ,Yes,1500,No ,LCD ,Yes ,64,Yes ,Yes ,1,iOS ,1,1.0,5.1,One SIM ,Nano-SIM ,No ,Yes ,2015 Y.,1,6
106,მობილური iphone 7,400.0,Yes ,Yes,1500,No ,LCD ,Yes ,64,Yes ,No ,1,iOS ,2,4.0,5.1,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,1,7
107,Iphone 7,350.0,Yes ,No,2700,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,8,4.0,4.0,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,5,7
108,Impone 6 გამოგადგებათ ნაწილებადაც!,100.0,Yes ,No,1500,No ,LCD ,No ,16,Yes ,No ,2,iOS ,1,2.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,1,6
109,იყიდება შავი Iphone 8 plus,950.0,Yes ,Yes,1000,No ,IPS LCD ,No ,64,Yes ,No ,1,iOS ,2,4.0,5.5,One SIM ,Mini-SIM ,No ,Yes ,2019 Y.,1,8
110,Iphone 5s gold,160.0,Yes ,No,1900,Yes ,LCD ,Yes ,16,Yes ,Yes ,1,iOS ,1,1.0,3.5,One SIM ,Mini-SIM ,Yes ,Yes ,2013 Y.,1,5s
111,Iphone 12 Pro Max,1000.0,Yes ,Yes,1100,Yes ,AMOLED ,Yes ,8,Yes ,No ,0,iOS ,13,0.5,3.0,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,1,12 pro
112,iphone 12 pro graphite 128 gb,2950.0,Yes ,Yes,4100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,4.4,One SIM ,Nano-SIM ,No ,Yes ,2020 Y.,8,12 pro
113,APPLE IPHONE 7 32GB ID: 163191-2,350.0,Yes ,No,2000,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
114,APPLE IPHONE X 64GB ID: 163007-2,950.0,Yes ,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.9,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,x
115,APPLE IPHONE 8 64GB ID:161978-2,550.0,Yes ,No,1900,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
116,11 პრო,2100.0,Yes ,No,3200,Yes,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,3,iOS ,1,4.0,5.8,Dual SIM ,Nano-SIM ,,,2019 Y.,1,11
117,APPLE IPHONE 12 128GB ID: 161361-2,2300.0,Yes ,Yes,2900,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,2,iOS ,12,4.0,6.15,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,12
